product_id,sku,name,category,unit_price,in_stock
P0059,MON-COR-0059,Delta monitor,monitor,3444.17,true
P0060,MOU-BAL-0060,Jade mouse,mouse,299.19,false
P0061,CAB-DEL-0061,Granito cable,cable,142.91,true
P0062,STA-COR-0062,Granito stand,stand,447.71,true
P0063,STA-HAL-0063,Ígneo stand,stand,335.66,true
P0064,CAB-GRA-0064,Granito cable,cable,96.35,true
P0065,DOC-AUR-0065,Ígneo dock,dock,694.00,true
P0066,HEA-AUR-0066,Granito headset,headset,700.82,true
P0067,MOU-BAL-0067,Delta mouse,mouse,323.71,true
P0068,STA-JAD-0068,Aurora stand,stand,356.39,true
P0069,WEB-COR-0069,Fjord webcam,webcam,396.14,true
P0070,WEB-AUR-0070,Corvo webcam,webcam,296.47,true
P0071,HEA-GRA-0071,Baltic headset,headset,716.76,false
P0072,KEY-HAL-0072,Halo keyboard,keyboard,1066.28,true
P0073,HEA-EMB-0073,Aurora headset,headset,344.88,false
P0074,MOU-GRA-0074,Aurora mouse,mouse,79.96,true
P0075,MON-COR-0075,Delta monitor,monitor,3285.72,true
P0076,KEY-HAL-0076,Corvo keyboard,keyboard,758.22,true
P0077,CHA-EMB-0077,Ígneo chair,chair,3900.21,true
P0078,MON-AUR-0078,Halo monitor,monitor,4193.37,true
P0079,KEY-FJO-0079,Jade keyboard,keyboard,394.24,true
P0080,MIC-AUR-0080,Ígneo microphone,microphone,1921.84,true
P0081,CAB-BAL-0081,Aurora cable,cable,55.62,true
P0082,MOU-AUR-0082,Fjord mouse,mouse,629.20,false
P0083,KEY-BAL-0083,Delta keyboard,keyboard,575.32,true
P0084,MOU-JAD-0084,Baltic mouse,mouse,385.60,true
P0085,HEA-GRA-0085,Ígneo headset,headset,1143.01,false
P0086,MIC-EMB-0086,Ígneo microphone,microphone,1884.54,true
P0087,MON-JAD-0087,Granito monitor,monitor,1214.59,true
P0088,MON-BAL-0088,Jade monitor,monitor,3761.07,true
P0089,WEB-AUR-0089,Halo webcam,webcam,385.40,true
P0090,STA-BAL-0090,Corvo stand,stand,362.05,true
P0091,MON-COR-0091,Corvo monitor,monitor,3947.69,false
P0092,CHA-BAL-0092,Aurora chair,chair,1883.59,true
P0093,WEB-BAL-0093,Ígneo webcam,webcam,894.82,true
P0094,KEY-DEL-0094,Halo keyboard,keyboard,726.28,true
P0095,STA-BAL-0095,Corvo stand,stand,215.89,true
P0096,KEY-COR-0096,Granito keyboard,keyboard,1105.29,true
P0097,WEB-EMB-0097,Baltic webcam,webcam,838.95,true
P0098,MOU-GRA-0098,Jade mouse,mouse,479.13,true
P0099,MOU-HAL-0099,Delta mouse,mouse,589.00,true
P0100,WEB-FJO-0100,Granito webcam,webcam,870.85,false
P0101,DOC-JAD-0101,Aurora dock,dock,2046.70,true
P0102,HEA-AUR-0102,Corvo headset,headset,186.57,true
P0103,MOU-GRA-0103,Baltic mouse,mouse,627.88,true
P0104,KEY-JAD-0104,Fjord keyboard,keyboard,810.68,true
P0105,KEY-HAL-0105,Granito keyboard,keyboard,1182.09,true
P0106,KEY-JAD-0106,Ígneo keyboard,keyboard,983.49,true
P0107,CHA-DEL-0107,Baltic chair,chair,1731.63,true
P0108,STA-AUR-0108,Fjord stand,stand,495.84,true
P0109,CHA-BAL-0109,Baltic chair,chair,3837.05,true
P0110,KEY-AUR-0110,Ígneo keyboard,keyboard,260.71,false
P0111,STA-COR-0111,Halo stand,stand,362.38,true
P0112,DOC-EMB-0112,Ember dock,dock,1392.08,true
P0113,STA-JAD-0113,Fjord stand,stand,127.03,true
P0114,KEY-BAL-0114,Jade keyboard,keyboard,982.18,false
P0115,MON-JAD-0115,Jade monitor,monitor,2853.84,true
P0116,HEA-BAL-0116,Granito headset,headset,155.74,true
P0117,DOC-FJO-0117,Jade dock,dock,2015.57,true
P0118,CAB-GRA-0118,Granito cable,cable,155.51,true
P0119,DOC-ÍGN-0119,Delta dock,dock,1920.28,true
P0120,MON-DEL-0120,Halo monitor,monitor,3069.79,true
P0121,MON-AUR-0121,Halo monitor,monitor,1602.54,true
P0122,CAB-GRA-0122,Granito cable,cable,141.63,true
P0123,CAB-GRA-0123,Delta cable,cable,109.76,true
P0124,CAB-EMB-0124,Granito cable,cable,91.60,true
P0125,CAB-FJO-0125,Ember cable,cable,48.24,true
P0126,CAB-AUR-0126,Aurora cable,cable,79.76,true
P0127,KEY-EMB-0127,Jade keyboard,keyboard,1083.42,true
P0128,WEB-ÍGN-0128,Jade webcam,webcam,411.48,false
P0129,KEY-DEL-0129,Corvo keyboard,keyboard,871.80,false
P0130,CHA-DEL-0130,Jade chair,chair,1611.58,false
P0131,MIC-DEL-0131,Ígneo microphone,microphone,1142.74,true
P0132,MON-DEL-0132,Halo monitor,monitor,1390.69,false
P0133,HEA-JAD-0133,Baltic headset,headset,1129.66,true
P0134,KEY-BAL-0134,Ígneo keyboard,keyboard,851.50,false
P0135,MON-HAL-0135,Delta monitor,monitor,1618.80,true
P0136,MOU-DEL-0136,Corvo mouse,mouse,175.23,false
P0137,STA-EMB-0137,Ember stand,stand,355.74,true
P0138,CAB-ÍGN-0138,Corvo cable,cable,89.48,true
P0139,DOC-FJO-0139,Fjord dock,dock,614.41,true
P0140,STA-COR-0140,Aurora stand,stand,304.11,true
P0141,MOU-AUR-0141,Corvo mouse,mouse,303.32,true
P0142,MOU-EMB-0142,Jade mouse,mouse,478.54,true
P0143,CHA-ÍGN-0143,Baltic chair,chair,5269.66,false
P0144,HEA-DEL-0144,Ígneo headset,headset,1224.08,true
P0145,WEB-BAL-0145,Baltic webcam,webcam,822.74,false
P0146,HEA-EMB-0146,Aurora headset,headset,778.76,false
P0147,MOU-DEL-0147,Ígneo mouse,mouse,406.77,false
P0148,HEA-DEL-0148,Granito headset,headset,1077.19,true
P0149,CAB-AUR-0149,Corvo cable,cable,84.72,false
P0150,WEB-COR-0150,Baltic webcam,webcam,830.88,true
P0151,STA-DEL-0151,Ígneo stand,stand,110.07,true
P0152,KEY-COR-0152,Ígneo keyboard,keyboard,597.03,true
P0153,STA-BAL-0153,Ember stand,stand,413.75,true
P0154,MON-AUR-0154,Ígneo monitor,monitor,2369.29,true
P0155,MOU-EMB-0155,Aurora mouse,mouse,392.99,true
P0156,WEB-AUR-0156,Fjord webcam,webcam,324.86,true
P0157,MON-BAL-0157,Baltic monitor,monitor,1679.41,true
P0158,CHA-COR-0158,Baltic chair,chair,3951.49,false
P0159,WEB-FJO-0159,Aurora webcam,webcam,728.06,false
P0160,HEA-EMB-0160,Ember headset,headset,585.83,false
P0161,STA-AUR-0161,Ember stand,stand,583.53,true
P0162,CAB-DEL-0162,Fjord cable,cable,176.90,true
P0163,CHA-HAL-0163,Aurora chair,chair,1892.34,true
P0164,MIC-HAL-0164,Delta microphone,microphone,262.83,true
P0165,CAB-FJO-0165,Halo cable,cable,85.05,true
P0166,HEA-GRA-0166,Corvo headset,headset,691.62,true
P0167,WEB-DEL-0167,Corvo webcam,webcam,384.25,true
P0168,HEA-GRA-0168,Ígneo headset,headset,171.44,true
P0169,MON-BAL-0169,Halo monitor,monitor,1735.09,true
P0170,MON-EMB-0170,Granito monitor,monitor,1229.36,true
P0171,WEB-BAL-0171,Delta webcam,webcam,153.60,true
P0172,STA-DEL-0172,Ember stand,stand,428.15,true
P0173,MOU-HAL-0173,Halo mouse,mouse,263.05,false
P0174,CHA-HAL-0174,Corvo chair,chair,1736.72,false
P0175,MOU-AUR-0175,Ember mouse,mouse,297.41,true
P0176,MOU-GRA-0176,Ember mouse,mouse,273.05,true
P0177,STA-JAD-0177,Corvo stand,stand,489.36,true
P0178,CHA-HAL-0178,Ígneo chair,chair,3426.22,true
P0179,CHA-EMB-0179,Jade chair,chair,4631.70,true
P0180,STA-DEL-0180,Baltic stand,stand,96.38,true
P0181,KEY-AUR-0181,Delta keyboard,keyboard,395.46,true
P0182,DOC-ÍGN-0182,Aurora dock,dock,1171.91,true
P0183,MOU-FJO-0183,Corvo mouse,mouse,463.18,true
P0184,WEB-AUR-0184,Delta webcam,webcam,292.38,true
P0185,STA-GRA-0185,Fjord stand,stand,562.43,false
P0186,MON-HAL-0186,Fjord monitor,monitor,3529.88,true
P0187,MON-GRA-0187,Fjord monitor,monitor,2474.46,false
P0188,CAB-EMB-0188,Ígneo cable,cable,47.94,true
P0189,STA-ÍGN-0189,Granito stand,stand,494.78,true
P0190,MIC-JAD-0190,Corvo microphone,microphone,1005.12,false
P0191,STA-ÍGN-0191,Corvo stand,stand,365.49,true
P0192,MOU-AUR-0192,Delta mouse,mouse,458.93,true
P0193,DOC-AUR-0193,Corvo dock,dock,535.62,true
P0194,HEA-AUR-0194,Granito headset,headset,1791.20,true
P0195,HEA-JAD-0195,Ígneo headset,headset,1377.05,true
P0196,KEY-JAD-0196,Baltic keyboard,keyboard,384.82,true
P0197,MIC-ÍGN-0197,Aurora microphone,microphone,1388.14,true
P0198,MOU-BAL-0198,Fjord mouse,mouse,417.17,true
P0199,KEY-EMB-0199,Jade keyboard,keyboard,1194.58,true
P0200,DOC-ÍGN-0200,Corvo dock,dock,657.30,true
P0201,KEY-DEL-0201,Corvo keyboard,keyboard,727.27,true
P0202,WEB-BAL-0202,Granito webcam,webcam,439.17,true
P0203,HEA-COR-0203,Ember headset,headset,1722.29,true
P0204,KEY-JAD-0204,Ember keyboard,keyboard,659.07,true
P0205,MON-FJO-0205,Fjord monitor,monitor,3832.07,true
P0206,MOU-EMB-0206,Aurora mouse,mouse,332.23,true
P0207,WEB-ÍGN-0207,Ember webcam,webcam,361.52,true
P0208,CHA-EMB-0208,Corvo chair,chair,2407.38,true
P0209,DOC-DEL-0209,Delta dock,dock,2152.11,true
P0210,STA-DEL-0210,Aurora stand,stand,487.39,true
P0211,CAB-HAL-0211,Ember cable,cable,107.36,true
P0212,CAB-EMB-0212,Corvo cable,cable,171.03,false
P0213,CHA-FJO-0213,Ígneo chair,chair,1442.42,true
P0214,WEB-ÍGN-0214,Aurora webcam,webcam,706.67,true
P0215,KEY-BAL-0215,Baltic keyboard,keyboard,244.97,true
P0216,MIC-GRA-0216,Halo microphone,microphone,902.22,true
P0217,WEB-EMB-0217,Halo webcam,webcam,387.99,true
P0218,STA-AUR-0218,Ígneo stand,stand,292.24,true
P0219,HEA-HAL-0219,Halo headset,headset,1112.42,true
P0220,KEY-FJO-0220,Ígneo keyboard,keyboard,224.50,false
P0221,MON-AUR-0221,Ember monitor,monitor,2609.18,true
P0222,MOU-HAL-0222,Granito mouse,mouse,377.01,true
P0223,CHA-BAL-0223,Granito chair,chair,3548.38,true
P0224,CHA-HAL-0224,Aurora chair,chair,4700.87,false
P0225,CAB-GRA-0225,Aurora cable,cable,104.21,true
P0226,WEB-HAL-0226,Jade webcam,webcam,191.41,false
P0227,HEA-AUR-0227,Aurora headset,headset,1513.40,false
P0228,DOC-BAL-0228,Baltic dock,dock,889.62,true
P0229,MIC-DEL-0229,Jade microphone,microphone,2210.27,true
P0230,HEA-DEL-0230,Fjord headset,headset,1704.08,true
P0231,DOC-JAD-0231,Fjord dock,dock,1861.02,true
P0232,CHA-COR-0232,Delta chair,chair,2230.70,false
P0233,HEA-DEL-0233,Delta headset,headset,747.83,false
P0234,HEA-DEL-0234,Aurora headset,headset,1374.41,true
P0235,HEA-COR-0235,Jade headset,headset,1315.36,false
P0236,STA-JAD-0236,Ember stand,stand,496.40,true
P0237,KEY-DEL-0237,Delta keyboard,keyboard,1192.10,true
P0238,CAB-AUR-0238,Ember cable,cable,119.64,true
P0239,KEY-FJO-0239,Halo keyboard,keyboard,873.11,false
P0240,MIC-COR-0240,Jade microphone,microphone,1948.60,false
P0241,KEY-EMB-0241,Fjord keyboard,keyboard,1010.54,true
P0242,DOC-GRA-0242,Fjord dock,dock,2361.23,true
P0243,CHA-FJO-0243,Corvo chair,chair,1936.47,true
P0244,STA-FJO-0244,Fjord stand,stand,528.69,true
P0245,STA-BAL-0245,Delta stand,stand,673.58,true
P0246,DOC-EMB-0246,Jade dock,dock,875.08,false
P0247,DOC-FJO-0247,Halo dock,dock,437.32,false
P0248,WEB-COR-0248,Fjord webcam,webcam,467.17,true
P0249,CHA-EMB-0249,Jade chair,chair,1129.27,false
P0250,MOU-JAD-0250,Corvo mouse,mouse,518.22,true
P0251,DOC-JAD-0251,Aurora dock,dock,1499.45,true
P0252,CAB-AUR-0252,Corvo cable,cable,59.09,true
P0253,DOC-COR-0253,Halo dock,dock,2051.47,true
P0254,CHA-HAL-0254,Ember chair,chair,1500.55,true
P0255,HEA-FJO-0255,Aurora headset,headset,1169.22,true
P0256,DOC-AUR-0256,Jade dock,dock,1002.50,false
P0257,MOU-JAD-0257,Granito mouse,mouse,514.51,false
P0258,CAB-EMB-0258,Halo cable,cable,94.24,false
P0259,MIC-COR-0259,Fjord microphone,microphone,2479.90,true
P0260,KEY-FJO-0260,Ember keyboard,keyboard,1184.33,true
P0261,WEB-ÍGN-0261,Baltic webcam,webcam,202.97,false
P0262,WEB-FJO-0262,Ígneo webcam,webcam,202.68,false
P0263,WEB-GRA-0263,Delta webcam,webcam,863.90,true
P0264,WEB-BAL-0264,Baltic webcam,webcam,255.41,true
P0265,CAB-ÍGN-0265,Halo cable,cable,100.43,true
P0266,STA-EMB-0266,Ígneo stand,stand,215.31,true
P0267,HEA-AUR-0267,Corvo headset,headset,677.84,false
P0268,KEY-COR-0268,Ígneo keyboard,keyboard,1151.99,false
P0269,MON-JAD-0269,Jade monitor,monitor,1080.90,true
P0270,KEY-ÍGN-0270,Ember keyboard,keyboard,714.58,true
P0271,CAB-AUR-0271,Delta cable,cable,25.14,false
P0272,MIC-GRA-0272,Delta microphone,microphone,2153.20,false
P0273,STA-FJO-0273,Aurora stand,stand,332.09,true
P0274,MIC-COR-0274,Fjord microphone,microphone,2399.23,true
P0275,DOC-HAL-0275,Ember dock,dock,1425.25,true
P0276,CHA-AUR-0276,Corvo chair,chair,2553.26,true
P0277,STA-ÍGN-0277,Ígneo stand,stand,551.75,true
P0278,MON-FJO-0278,Aurora monitor,monitor,3659.25,false
P0279,STA-AUR-0279,Ígneo stand,stand,470.68,true
P0280,KEY-AUR-0280,Halo keyboard,keyboard,974.35,false
P0281,KEY-HAL-0281,Halo keyboard,keyboard,1159.73,false
P0282,WEB-HAL-0282,Fjord webcam,webcam,328.91,true
P0283,CHA-BAL-0283,Delta chair,chair,3697.51,true
P0284,STA-BAL-0284,Granito stand,stand,391.40,true
P0285,WEB-GRA-0285,Fjord webcam,webcam,696.12,true
P0286,WEB-GRA-0286,Fjord webcam,webcam,892.87,true
P0287,DOC-HAL-0287,Aurora dock,dock,567.15,false
P0288,WEB-FJO-0288,Ember webcam,webcam,784.08,true
P0289,STA-HAL-0289,Ember stand,stand,276.16,true
P0290,MIC-HAL-0290,Ember microphone,microphone,2317.38,true
P0291,HEA-AUR-0291,Ígneo headset,headset,1270.41,true
P0292,HEA-EMB-0292,Halo headset,headset,936.12,true
P0293,MON-EMB-0293,Halo monitor,monitor,1703.73,true
P0294,CHA-FJO-0294,Corvo chair,chair,1285.94,true
P0295,CHA-GRA-0295,Ígneo chair,chair,3126.06,true
P0296,CAB-COR-0296,Fjord cable,cable,168.41,true
P0297,CAB-GRA-0297,Granito cable,cable,154.65,true
P0298,KEY-GRA-0298,Granito keyboard,keyboard,833.22,false
P0299,KEY-JAD-0299,Fjord keyboard,keyboard,208.06,true
P0300,STA-AUR-0300,Baltic stand,stand,142.47,false
P0301,DOC-GRA-0301,Jade dock,dock,2106.20,true
P0302,WEB-DEL-0302,Jade webcam,webcam,479.71,true
P0303,CHA-COR-0303,Baltic chair,chair,1424.67,true
P0304,CHA-COR-0304,Ígneo chair,chair,2515.44,true
P0305,WEB-BAL-0305,Ígneo webcam,webcam,835.30,false
P0306,WEB-AUR-0306,Granito webcam,webcam,872.97,true
P0307,MON-FJO-0307,Granito monitor,monitor,3198.78,false
P0308,MON-HAL-0308,Aurora monitor,monitor,4196.21,true
P0309,CAB-FJO-0309,Baltic cable,cable,53.94,true
P0310,CHA-JAD-0310,Corvo chair,chair,5065.44,false
P0311,HEA-ÍGN-0311,Delta headset,headset,1714.95,true
P0312,MIC-ÍGN-0312,Corvo microphone,microphone,621.10,true
P0313,MIC-AUR-0313,Ember microphone,microphone,2117.00,true
P0314,WEB-AUR-0314,Ember webcam,webcam,760.81,true
P0315,KEY-AUR-0315,Ígneo keyboard,keyboard,672.54,false
P0316,MOU-JAD-0316,Fjord mouse,mouse,568.41,true
P0317,MIC-EMB-0317,Halo microphone,microphone,1082.17,true
P0318,MOU-DEL-0318,Granito mouse,mouse,103.23,true
P0319,CAB-EMB-0319,Halo cable,cable,66.47,true
P0320,STA-FJO-0320,Granito stand,stand,599.87,true
P0321,CAB-GRA-0321,Baltic cable,cable,168.25,true
P0322,STA-FJO-0322,Aurora stand,stand,270.29,true
P0323,MON-GRA-0323,Halo monitor,monitor,1935.36,true
P0324,KEY-FJO-0324,Corvo keyboard,keyboard,721.69,true
P0325,CAB-FJO-0325,Baltic cable,cable,78.68,false
P0326,STA-FJO-0326,Ember stand,stand,502.82,false
P0327,WEB-JAD-0327,Granito webcam,webcam,476.05,false
P0328,DOC-AUR-0328,Baltic dock,dock,493.58,true
P0329,MOU-BAL-0329,Fjord mouse,mouse,611.64,true
P0330,MIC-JAD-0330,Ígneo microphone,microphone,2422.63,true
P0331,DOC-AUR-0331,Corvo dock,dock,2053.12,true
P0332,CHA-JAD-0332,Ígneo chair,chair,1716.48,true
P0333,CHA-DEL-0333,Granito chair,chair,4331.35,false
P0334,MOU-JAD-0334,Jade mouse,mouse,294.27,true
P0335,DOC-ÍGN-0335,Granito dock,dock,2054.20,true
P0336,HEA-BAL-0336,Granito headset,headset,987.83,true
P0337,MON-AUR-0337,Aurora monitor,monitor,3658.89,true
P0338,HEA-DEL-0338,Ember headset,headset,1312.32,false
P0339,MIC-ÍGN-0339,Ígneo microphone,microphone,1322.78,true
P0340,DOC-DEL-0340,Granito dock,dock,1046.72,true
P0341,HEA-JAD-0341,Aurora headset,headset,442.21,true
P0342,CAB-EMB-0342,Fjord cable,cable,71.29,true
P0343,MIC-AUR-0343,Aurora microphone,microphone,1341.46,true
P0344,CHA-HAL-0344,Fjord chair,chair,2984.76,true
P0345,CHA-DEL-0345,Delta chair,chair,1902.58,false
P0346,WEB-JAD-0346,Corvo webcam,webcam,230.57,true
P0347,STA-EMB-0347,Fjord stand,stand,574.76,true
P0348,WEB-JAD-0348,Halo webcam,webcam,665.67,true
P0349,MIC-EMB-0349,Ember microphone,microphone,1668.38,true
P0350,CHA-BAL-0350,Jade chair,chair,3212.59,true
