order_id,client_id,product_id,quantity,unit_price,discount,total,status,placed_at
O00288,C0115,P0002,2,519.76,0.00,1039.52,paid,2026-08-06T04:59:00Z
O00289,C0023,P0339,3,1322.78,0.00,3968.34,cancelled,2026-07-24T02:41:00Z
O00290,C0070,P0260,2,1184.33,236.87,2131.79,refunded,2026-09-03T11:06:00Z
O00291,C0117,P0063,1,335.66,0.00,335.66,shipped,2026-06-29T15:50:00Z
O00292,C0002,P0119,1,1920.28,288.04,1632.24,cancelled,2026-04-03T11:56:00Z
O00293,C0089,P0136,1,175.23,0.00,175.23,shipped,2026-05-23T07:21:00Z
O00294,C0059,P0238,1,119.64,0.00,119.64,shipped,2026-04-11T23:22:00Z
O00295,C0075,P0203,1,1722.29,258.34,1463.95,shipped,2026-02-04T16:23:00Z
O00296,C0085,P0209,1,2152.11,0.00,2152.11,paid,2026-04-08T18:10:00Z
O00297,C0026,P0288,1,784.08,0.00,784.08,paid,2026-04-20T05:17:00Z
O00298,C0063,P0077,1,3900.21,585.03,3315.18,shipped,2026-06-17T06:09:00Z
O00299,C0117,P0172,1,428.15,0.00,428.15,refunded,2026-04-17T09:03:00Z
O00300,C0055,P0334,1,294.27,29.43,264.84,cancelled,2026-03-15T12:29:00Z
O00301,C0062,P0301,1,2106.20,105.31,2000.89,paid,2026-01-07T13:03:00Z
O00302,C0035,P0211,1,107.36,5.37,101.99,paid,2026-08-07T18:18:00Z
O00303,C0055,P0155,1,392.99,58.95,334.04,paid,2026-07-09T02:59:00Z
O00304,C0026,P0213,1,1442.42,0.00,1442.42,paid,2026-01-30T08:05:00Z
O00305,C0070,P0241,3,1010.54,454.74,2576.88,cancelled,2026-06-17T09:48:00Z
O00306,C0093,P0331,3,2053.12,0.00,6159.36,cancelled,2026-01-22T07:35:00Z
